Function,Package,Static,Example,Original Package,Observation,FuncType /Member/Static,Implemented In:,
IsXmlRoot,Xml,TRUE,,Xml,,,,
IsZipFile,File,TRUE,,lucee.util.ZipFile,(extends File). Or possibly Compressable,,,
JavaCast,Variable,TRUE,,Variable,Or via relevant Java class constuctor?,,,
JSStringFormat,String,TRUE,,String,or Conversion? Not sure,,,
LCase,String,TRUE,,String,,,,
Left,String,TRUE,,String,,,,
Len,String,TRUE,,String,,,,
ListAppend,List,FALSE,,List,(just an interface String implements),Member,,
ListAvg,List,FALSE,,List,,Member,,
ListChangeDelims,List,FALSE,,List,,Member,,
ListCompact,List,FALSE,,List,,Member,,
ListContains,List,FALSE,,List,,Member,,
ListContainsNoCase,List,FALSE,,List,,Member,,
ListDeleteAt,List,FALSE,,List,,Member,,
ListEach,List,FALSE,,List,,Member,,
ListEvery,List,FALSE,,List,,Member,,
ListFilter,List,FALSE,,List,,Member,,
ListFind,List,FALSE,,List,,Member,,
ListFindNoCase,List,FALSE,,List,,Member,,
ListFirst,List,FALSE,,List,,Member,,
ListGetAt,List,FALSE,,List,,Member,,
ListIndexExists,List,FALSE,,List,,Member,,
ListInsertAt,List,FALSE,,List,,Member,,
ListItemTrim,List,FALSE,,List,,Member,,
ListLast,List,FALSE,,List,,Member,,
ListLen,List,FALSE,,List,,Member,,
ListMap,List,FALSE,,List,,Member,,
ListPrepend,List,FALSE,,List,,Member,,
ListQualify,List,FALSE,,List,,Member,,
ListReduce,List,FALSE,,List,,Member,,
ListRemoveDuplicates,List,FALSE,,List,,Member,,
ListRest,List,FALSE,,List,,Member,,
ListSetAt,List,FALSE,,List,,Member,,
ListSome,List,FALSE,,List,,Member,,
ListSort,List,FALSE,,List,,Member,,
ListToArray,List,FALSE,,List,,Member,,
ListTrim,List,FALSE,,List,,Member,,
ListValueCount,List,FALSE,,List,,Member,,
ListValueCountNoCase,List,FALSE,,List,,Member,,
LJustify,String,TRUE,,String,,,,
Log,Math,TRUE,,Math,,,,
Log10,Math,TRUE,,Math,,,,
LSCurrencyFormat,Locale,TRUE,"Locale::formatCurrency(value, locale)",Locale,Or don't implement: roll into relevant class and make 'em all locale awar,,,
LSDateFormat,Locale,TRUE,,Locale,,,,
LSDateTimeFormat,Locale,TRUE,,Locale,,,,
LsdayOfWeek,Locale,TRUE,,Locale,,,,
LSEuroCurrencyFormat,Locale,TRUE,,Locale,,,,
LSIsCurrency,Locale,TRUE,,Locale,,,,
LSIsDate,Locale,TRUE,,Locale,,,,
LSIsNumeric,Locale,TRUE,,Locale,,,,
LSNumberFormat,Locale,TRUE,,Locale,,,,
LSParseCurrency,Locale,TRUE,,Locale,,,,
LSParseDateTime,Locale,TRUE,,Locale,,,,
LSParseEuroCurrency,Locale,TRUE,,Locale,,,,
LSParseNumber,Locale,TRUE,,Locale,,,,
LSTimeFormat,Locale,TRUE,,Locale,,,,
Lsweek,Locale,TRUE,,Locale,,,,
LTrim,String,TRUE,,String,,,,
Max,Number,TRUE,,Number,,,,
Metaphone,String,TRUE,,String,,,,
Mid,String,TRUE,,String,,,,
Millisecond,DateTime,TRUE,,DateTime,,,,
Min,Number,TRUE,,Number,,,,
Minute,DateTime,TRUE,,DateTime,,,,
Month,DateTime,TRUE,,DateTime,,,,
MonthAsString,DateTime,TRUE,,DateTime,,,,
MonthShortAsString,DateTime,TRUE,,DateTime,,,,
NewLine,String,TRUE,,,Don't implement,,,
Now,DateTime,TRUE,new DateTime(),DateTime,,,,
NowServer,DateTime,TRUE,,,Don't implement,,,
NullValue,Object,TRUE,,,Don't implement,,,
NumberFormat,Number,TRUE,,Number,,,,
ObjectEquals,Object,TRUE,,Object,,,,
ObjectLoad,Object,TRUE,,Object,,,,
ObjectSave,Object,TRUE,,Object,,,,
ORMClearSession,Orm,TRUE,,Orm,,,,
ORMCloseAllSessions,Orm,TRUE,,Orm,,,,
ORMCloseSession,Orm,TRUE,,Orm,,,,
ORMEvictCollection,Orm,TRUE,,Orm,,,,
ORMEvictEntity,Orm,TRUE,,Orm,,,,
ORMEvictQueries,Orm,TRUE,,Orm,,,,
ORMExecuteQuery,Orm,TRUE,,Orm,,,,
ORMFlush,Orm,TRUE,,Orm,,,,
ORMGetSession,Orm,TRUE,,Orm,,,,
ORMGetSessionFactory,Orm,TRUE,,Orm,,,,
ORMReload,Orm,TRUE,,Orm,,,,
PagePoolClear,System,TRUE,,System,,,,
PagePoolList,System,TRUE,,System,,,,
ParagraphFormat,String,TRUE,,String,,,,
ParameterExists,,FALSE,,,Don't implement,,,
ParseDateTime,DateTime,TRUE,new DateTime(StringExpr),DateTime,,,,
ParseNumber,Number,TRUE,new Number(StringExpr),Number,,,,
Pi,Math,TRUE,,Math,,,,
PrecisionEvaluate,Math,TRUE,,Math,,,,
PreserveSingleQuotes,Query,TRUE,,lucee.util.Sql,Not sure. Didn't want to clutter up String,,,
Quarter,DateTime,TRUE,,DateTime,,,,
Query,Query,FALSE,new Query(),Query,,Member,,
QueryAddColumn,Query,FALSE,,Query,,Member,,
QueryAddRow,Query,FALSE,,Query,,Member,,
QueryColumnArray,Query,FALSE,,Query,,Member,,
QueryColumnCount,Query,FALSE,,Query,,Member,,
QueryColumnData,Query,FALSE,,Query,,Member,,
QueryColumnExists,Query,FALSE,,Query,,Member,,
